"FSC-A","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
19.321707,538.045227,409.764221,609.179993,909.466370
6.714485,162.783310,-0.067330,0.050640,0.141680
7.105498,159.150085,0.014497,0.026325,0.160535
8.833321,404.386078,197.183151,289.584473,432.587372
11.190784,382.701294,217.940613,314.485565,462.182800
11.904672,394.206024,217.987717,321.023834,477.349152
6.143223,168.768967,-0.038981,0.256329,0.034696
7.172570,155.118896,-0.031598,0.107723,-0.023903
6.686024,158.384445,0.354911,0.137013,0.211352
10.153947,389.353455,215.643646,315.592590,459.447021
12.392486,411.656799,218.590103,317.439087,497.474579
11.338034,376.522827,207.048843,302.495819,459.685516
7.088653,166.499390,0.391597,0.070541,0.105518
12.359506,398.602631,237.195572,345.046204,490.258453
10.378322,370.668060,221.500488,318.661255,468.433716
7.214633,165.502151,0.151986,0.191107,0.137731
7.100476,168.082321,0.232737,0.024210,0.347639
9.221233,376.593536,205.774536,298.237213,439.339691
11.932731,392.400513,214.608749,316.472748,480.891205
12.258248,392.882996,218.911011,318.922150,485.401917
7.141792,163.605225,0.194693,0.160027,0.126061
6.739195,153.255219,0.189056,0.338805,0.392896
9.488957,377.766510,203.169952,294.748138,451.879486
6.761665,158.761017,0.295448,0.193968,0.172119
10.666965,372.296783,219.180130,311.297638,459.817383
11.441212,369.751190,214.904327,319.254486,477.431732
9.524711,390.370331,200.752274,295.854614,449.682404
10.638058,390.767120,221.610077,325.993256,466.428986
9.379213,386.954681,204.884995,297.718597,444.868042
6.618249,169.540604,0.039388,0.349077,0.253209
9.754210,398.743195,210.634491,304.779266,438.810486
6.308846,362.292267,180.994598,262.009003,392.058990
13.318993,448.947601,238.756592,346.901947,504.373657
6.442088,160.954468,-0.023753,0.202078,0.044787
6.689744,165.189819,0.165477,0.145446,0.058533
6.420828,160.241608,0.044126,0.020748,0.293015
7.003354,159.131699,0.016465,0.180242,0.318497
20.906597,289.970062,0.222382,0.242244,0.010568
9.054073,375.084930,189.555130,279.987061,436.346344
7.294389,169.088638,-0.055023,-0.020736,0.131460
6.690512,163.427673,0.053555,0.082075,0.094344
10.558372,414.343445,204.777695,302.559906,466.646576
11.303429,384.397736,216.265167,318.053986,477.695587
6.505041,164.428238,0.233326,-0.002183,0.332369
6.374117,159.822266,0.198552,0.176893,0.138703
7.020480,160.496658,0.129564,-0.161206,-0.045292
10.462454,397.868073,221.934174,320.655365,462.665253
9.053904,387.127045,209.689896,307.015015,453.452484
9.434132,388.223419,216.031128,310.432007,449.573059
8.615132,417.132294,207.527725,307.694122,457.081848
6.866741,155.857910,0.157910,0.479734,0.037707
6.431978,160.376480,-0.014769,0.222425,0.071509
11.108809,373.574432,225.886337,325.583588,461.089966
8.287336,397.440918,190.254669,279.611145,429.380463
6.611939,154.984924,0.373960,0.045864,0.081013
6.593828,153.882996,0.048466,0.078771,0.075087
11.060636,374.531403,219.157608,310.900940,467.370117
8.653247,385.372650,199.422348,295.473389,443.312378
6.527102,159.018219,0.103299,-0.096305,-0.002318
10.919290,383.607697,223.884216,319.102509,471.826080
6.595971,166.502808,0.241414,0.077361,-0.034559
7.424018,165.036392,-0.028488,0.233312,-0.003084
10.948694,389.645203,215.154663,314.445496,473.550049
8.820537,372.997559,208.828552,298.489990,423.710602
9.928466,373.353363,220.496979,313.942108,475.236389
6.473609,157.171738,0.083671,0.161018,0.287025
8.945484,365.907623,202.652664,292.640411,438.378174
6.686179,152.606400,-0.100916,0.330631,0.060112
7.442994,155.953156,0.148238,0.111453,0.048379
12.534757,419.677185,235.245956,346.241272,485.177002
7.433156,171.574585,0.123823,0.252536,0.036554
6.346358,166.561401,-0.011266,0.319350,0.314432
6.837093,160.577988,0.315194,0.257023,-0.097624
6.441010,162.473038,0.028486,0.450365,0.132131
11.360292,370.686615,224.903976,326.988861,482.564148
12.743459,459.238617,231.544861,339.746918,504.162659
6.917072,155.182205,0.304513,0.070174,0.128075
7.397019,151.207245,0.350047,-0.069163,-0.011665
7.008595,167.166199,0.050554,0.226079,0.170955
8.274752,173.238724,0.193863,0.317253,0.262002
10.561894,97.881790,0.193351,0.536085,2.070322
10.561524,393.554718,214.083496,301.908508,457.548340
7.043437,159.411591,0.117721,0.178884,0.252595
9.581519,385.410004,206.720261,293.536041,456.375458
7.719663,161.428223,-0.174601,0.188092,0.360770
23.887657,314.312683,0.017357,0.239294,0.126941
9.658899,395.259705,210.580048,301.390930,454.108734
11.026545,409.441376,207.913712,307.618317,479.405426
11.056195,363.891174,209.478119,306.923584,475.821747
11.325668,420.806732,214.370544,311.944122,478.487885
10.941924,418.906738,211.600479,305.555786,459.756805
8.431558,162.277527,0.304307,0.144485,0.583363
6.105246,158.078308,0.148829,0.024705,0.154765
