"FSC-A","FSC-H","SSC-A","GFP-A","PE-A","mCherry-A"
6.450670,4.146116,12.943610,42.103970,13.152196,1560.958130
28.006353,18.416468,9.717780,8.888367,8.327439,991.724060
10.358673,7.187685,3.969004,6.225866,0.272403,13.325841
13.000501,8.264956,1.750319,14.115748,0.246918,20.407972
16.662981,11.045887,4.667784,4.371640,0.158108,4.655736
20.747625,14.126162,4.611724,12.137288,0.280615,23.763210
8.703725,6.159455,2.266930,4.384501,0.213274,6.478926
10.842511,7.463979,7.654431,11.734825,3.006474,358.380341
22.759193,14.698023,10.216247,10.660832,3.388506,382.884064
24.951891,14.647711,10.629262,11.162714,3.429438,376.868713
27.361429,18.188278,6.873292,13.878268,3.241167,383.677887
19.594528,12.816243,6.517573,11.732004,0.285473,22.354700
23.311815,15.537620,7.693963,4.616358,2.606291,330.072357
15.179147,9.680762,4.055422,4.720723,1.299006,172.193130
46.844128,29.359003,16.521799,49.075935,0.530579,38.732990
17.949692,11.750785,5.031115,28.432055,4.579462,632.988098
30.512896,19.868540,7.536394,3.723777,2.325683,228.266663
25.732529,17.627306,10.233539,6.824030,5.172451,700.051147
16.533134,10.876582,6.728931,8.337738,0.179532,9.229990
47.189911,22.509068,53.622494,76.924156,19.205584,2905.634521
16.183802,10.618746,2.480850,10.753025,0.314989,10.544258
22.070427,13.911661,10.411331,18.791239,0.680145,17.664051
45.272469,28.315098,9.575674,7.504610,7.215355,892.388367
16.906216,10.889457,7.214557,26.249727,0.533621,40.466969
19.381788,12.652342,5.529919,3.365007,1.702584,203.028641
12.758121,8.585701,15.432648,11.689309,3.939078,502.043304
21.856873,14.338448,5.020863,16.350803,0.405743,15.877694
16.678209,11.691265,4.151916,7.864817,0.448823,47.328762
19.136658,12.664425,4.936541,19.908585,0.460925,58.584522
31.419188,20.438766,15.357557,16.351810,4.563142,550.654419
22.065567,14.434237,13.819555,28.355467,11.444025,1438.967285
22.787020,15.114634,4.141172,17.187473,0.331240,8.394631
37.489372,22.670122,9.578129,24.425924,6.203388,699.171387
69.955177,26.911455,28.286785,31.098660,10.244443,1261.880371
68.311768,26.961975,25.797287,25.034445,9.713227,1169.384766
37.368755,24.270689,8.319716,8.697312,5.022178,578.538391
21.519241,14.600141,5.604299,5.030128,2.857007,294.504303
6.917421,4.529083,9.060486,8.315509,2.784178,351.351624
4.748822,3.231745,1.657705,3.570705,0.039057,5.277107
8.463824,5.558743,11.123285,6.300000,5.338952,690.504700
14.013687,9.098450,4.395671,5.089805,1.880299,215.357544
22.785303,14.881028,7.351408,5.399815,2.537295,278.608246
11.389404,7.820694,6.597284,23.711714,3.967146,505.513306
23.685253,14.752677,6.210097,16.390144,11.066607,1346.261841
7.526754,5.091380,6.631488,11.299581,0.468636,13.731734
24.748337,16.114229,7.251450,20.712442,4.616557,553.700806
19.216753,11.313925,73.124557,108.005806,37.825165,4055.426514
12.472662,8.342598,2.216246,7.033199,0.230373,6.423811
16.171612,10.960970,5.922027,33.635151,3.630375,390.860199
42.166222,25.714455,10.850004,7.234860,7.613185,1025.300903
19.141531,13.056870,6.229449,14.094020,0.260375,11.852674
38.610485,24.533926,13.200994,27.642206,5.421348,798.387207
14.861697,9.983816,5.623825,13.407873,0.367620,15.811011
20.601994,13.862588,5.733778,6.473085,2.435705,284.849670
14.288696,9.550405,4.671607,16.189054,1.520533,180.003250
12.104005,7.883713,7.475154,7.029320,4.345844,562.592834
37.978466,22.431150,17.775757,17.126575,0.321591,3.240946
7.959005,5.577592,4.084070,7.936746,0.202389,13.577038
41.358994,25.198122,21.774290,63.363598,1.354711,125.854790
8.847114,5.599690,2.374987,5.757571,0.670526,21.768061
11.023440,7.436614,4.008158,18.426405,0.346232,23.236277
11.930395,7.936917,3.767332,24.392870,2.206152,212.173111
37.628426,23.711599,17.591141,33.404690,10.999092,1324.477051
41.229008,22.983570,23.948153,43.430435,20.966431,2973.527588
30.197262,18.739037,20.454811,37.229156,0.393096,94.504272
13.391028,9.168481,3.824267,11.300461,0.264072,8.128559
69.786613,35.561520,38.624363,92.356613,0.770156,65.731796
11.607393,7.874804,5.402703,3.878922,0.006590,1.800662
9.938960,6.885916,2.029747,12.468150,1.433542,183.537155
9.391191,6.211985,3.667813,7.206920,0.188729,4.810562
11.214918,7.060821,3.811176,1.955642,1.159853,107.876144
17.181662,11.421586,3.083521,8.205907,0.176068,9.359280
35.522301,22.883572,8.550627,7.124068,5.384445,643.761536
9.163302,6.033753,2.913732,6.257354,0.162711,6.945127
18.895296,12.152711,5.608123,5.127111,1.712547,176.182266
10.436483,7.077934,2.265239,9.469795,0.110185,5.523810
19.094437,12.127687,3.872398,12.843210,0.276032,20.320620
16.281210,10.573519,10.494454,23.418840,0.477282,22.329817
30.911066,20.180119,8.636831,21.287392,8.717628,962.460449
8.941529,6.241678,4.824996,14.029943,0.308644,25.355915
7.733727,5.040728,1.173619,10.240472,1.546718,163.333542
51.249283,28.184820,11.521660,11.698383,6.381696,761.984497
20.625406,13.367740,10.401513,26.117785,4.243874,587.951172
19.918098,13.422749,8.822881,22.078049,8.030577,1026.839355
25.497585,16.420746,4.866243,15.009071,0.418320,27.322397
28.824625,19.132977,13.271084,23.610312,5.090898,645.357422
20.964621,14.110993,9.743530,8.922184,7.129845,847.009216
17.371620,10.791320,15.080629,44.417286,6.060559,695.954834
29.370983,12.261188,15.526949,31.333544,1.424552,184.384216
29.277882,12.130950,14.899193,24.436369,1.284209,183.242111
20.083942,13.099216,6.155060,4.805614,2.073747,228.996490
14.699408,7.819289,8.183074,12.190003,1.349556,141.122864
13.140755,7.688338,7.459515,13.240111,1.030018,96.965660
22.510504,14.408377,6.469718,6.153707,1.414764,231.360519
26.832579,17.882294,9.127636,7.095553,1.424274,194.891617
30.402613,19.427645,23.174292,23.982603,6.046946,880.561279
21.170321,13.885760,8.437270,14.831823,0.278089,25.242531
38.616158,24.406273,16.107672,8.998291,4.266203,539.971069
25.136250,15.958894,11.409593,12.489425,6.135739,712.544556
33.869743,21.584627,6.364736,23.336292,8.427994,994.032166
30.085018,19.873169,8.884519,6.440419,2.441747,258.469147
