"FSC-A","FSC-H","SSC-A","GFP-A","PE-A","mCherry-A"
30.546453,18.554319,10.348330,25.064711,0.310796,18.783113
5.725702,3.989791,1.459912,14.381223,0.310173,25.869661
13.865670,9.490389,4.225605,6.943488,0.452688,10.991650
32.452461,20.699350,7.465455,32.408504,0.638647,58.112659
10.866516,6.800981,3.773145,9.737073,0.281043,8.369874
14.200170,9.150224,4.766592,10.839561,0.128118,9.484749
7.330839,5.141907,1.926793,6.262576,0.249805,3.859873
16.243477,10.965025,3.301122,17.677559,0.266250,13.228487
9.373098,6.299360,2.387251,9.122069,0.404902,21.536543
54.293812,30.438507,25.646154,49.981617,0.861098,72.749603
8.795154,6.039362,1.757791,9.154823,0.067653,3.543411
13.832719,9.159818,3.345179,17.065153,0.243196,16.817736
10.224720,6.534974,2.250973,9.472528,0.135944,7.698701
16.329760,10.669602,7.394301,24.654007,0.163829,13.803704
23.757166,14.900772,9.170922,27.589434,0.374733,29.883821
5.755573,3.949454,2.063680,3.237085,0.117454,3.406348
9.757240,6.739329,4.965773,10.118963,0.304209,4.254508
8.198413,5.768771,3.483929,10.279697,0.335166,4.420127
6.312819,3.837118,2.571129,5.439775,0.171075,3.681515
5.459498,3.978584,2.766719,5.680213,0.008754,5.132188
44.031242,24.663363,24.359283,65.721008,0.500411,44.097542
15.035787,10.211526,5.674132,15.564146,0.117469,19.198925
12.478668,7.777330,2.983805,8.373035,0.353312,57.303070
45.702286,23.587881,84.690941,243.909180,7.369877,812.321594
10.472214,7.237234,7.353881,8.037085,0.560642,39.139263
38.760441,23.170448,14.026612,51.085564,0.684202,73.509361
36.786583,23.252796,11.055660,26.704033,0.419588,12.232052
9.337343,6.296799,2.056216,12.508237,0.305544,18.602127
15.101686,9.583251,11.370258,34.572803,0.364485,24.819811
25.774300,14.397172,24.187044,70.333961,1.496357,187.722321
10.089291,6.796023,4.595255,6.887451,0.303808,9.087690
5.601470,4.012776,2.889714,6.856847,0.177245,8.617098
23.019453,15.096526,7.168013,35.312553,3.555084,408.134430
4.702761,3.389798,2.158808,4.636533,0.147241,4.791233
15.952673,10.466971,4.258265,15.654884,0.359582,17.743031
22.627321,14.316578,11.051367,28.878860,0.583432,65.188477
13.954745,9.187036,4.870002,11.438227,0.250116,30.495966
15.435640,10.328149,5.482833,9.681296,0.249774,20.148352
31.518049,19.356686,7.147338,24.805918,0.448451,68.218254
7.868469,5.402880,2.614595,8.970220,0.049484,7.250566
29.505760,19.031912,7.741795,24.289799,0.411236,32.077621
7.425218,5.113352,2.452483,10.934082,0.010004,9.179583
18.864344,12.645538,7.685931,11.548405,0.330570,12.157877
24.487932,13.344193,33.688366,100.980797,0.826627,85.749275
8.885144,5.580106,3.882333,17.252289,0.524993,30.022844
6.904220,4.690979,3.049563,7.448004,0.134115,1.733245
12.804352,8.612672,2.798568,11.497466,0.111172,4.797803
24.169703,15.043022,21.731953,51.898266,0.431890,49.897015
5.411262,3.796388,2.771453,5.032424,0.004370,2.547026
35.040173,20.735870,9.872493,39.954147,0.384345,33.772285
11.008264,7.545842,3.854154,12.139030,0.257212,7.443767
11.550913,7.614969,3.495283,8.451412,0.165664,7.053571
5.360261,3.728472,2.589121,5.046405,0.145515,22.239670
16.297850,10.545659,4.594284,8.820768,0.041400,4.614323
6.784952,4.334537,2.387490,6.080482,0.123771,8.138803
21.069088,13.514301,8.329600,16.642107,0.139360,31.395067
19.092087,12.483978,4.658922,9.424618,0.139509,15.082166
16.285290,10.374433,14.629393,22.673677,0.851320,90.380135
16.053259,10.174226,3.945695,11.523705,0.433413,6.004447
30.375643,19.122618,8.689427,16.322798,0.423912,41.866066
25.560570,16.350544,12.495775,40.921638,0.309309,38.605957
19.726824,12.191985,18.573776,74.933159,0.762333,76.125023
10.439946,6.812595,12.267450,18.908804,0.543862,43.010174
19.417744,12.671584,6.588848,11.814821,0.448783,22.963245
12.168491,8.237655,7.559601,24.657389,0.293672,32.115280
5.267129,3.361014,2.359046,2.671075,0.185137,4.535841
17.989273,11.321012,5.381562,18.391621,0.116008,6.830564
24.254477,15.429841,5.358996,14.076369,0.195305,9.911041
41.931000,25.665546,34.738422,70.846085,1.479120,152.466110
63.394577,32.920677,49.450584,115.861877,2.313757,233.394379
14.527141,8.298981,4.803922,8.616885,0.485404,28.677074
16.083044,8.614656,5.335281,14.902679,0.104460,12.659697
10.253705,7.116821,4.545079,15.508570,0.232708,14.867121
18.247221,12.032595,11.379141,31.681213,0.327713,52.630226
44.266663,17.034111,17.861229,31.525888,0.496200,46.373489
24.367628,15.404800,10.073329,21.170097,0.200312,18.940008
22.352621,14.424519,12.145097,19.998276,0.254014,37.534386
10.348015,7.077284,3.403354,4.465874,0.024134,5.335976
17.672901,11.420886,4.453287,17.059101,0.259717,27.728300
13.736961,8.772771,4.405100,12.061351,0.441367,22.277315
5.502915,3.620791,2.158003,10.023008,0.019657,4.807957
