"FSC-A","mCherry-A"
5.198494,1.924182
4.817251,4.970192
22.977407,8.654134
63.741028,16.014885
31.721466,25.800974
19.654133,15.407773
27.835838,10.292771
18.460791,10.088794
7.607553,2.920767
4.926413,7.563317
16.064058,9.805500
5.972698,0.896207
31.208967,18.679361
14.190919,33.135746
10.260541,7.991427
46.560932,16.017365
52.902493,40.132446
18.818426,7.899438
17.572317,17.397713
26.367163,20.393686
14.869401,11.059222
16.203459,7.452540
26.212784,7.772857
42.340710,16.487103
63.915955,38.173019
23.394766,12.161436
16.996683,10.197872
40.160126,51.365231
9.013369,1.901524
32.457909,23.187828
6.297448,2.401174
27.013073,45.085056
12.868815,12.155262
66.120476,100.254234
31.104860,14.290868
34.974731,29.542664
48.959618,53.306511
57.561668,114.095421
32.779442,15.067528
13.586467,3.196540
34.145481,13.404171
13.237489,8.129745
20.029793,10.107316
27.794111,31.618458
6.098066,5.193471
27.261208,19.796860
25.397297,14.691289
24.762901,22.546370
10.976559,3.222922
45.122406,15.552806
31.889002,14.590520
4.116876,1.394736
34.404854,22.717413
34.432610,32.076866
9.871988,2.226292
29.277042,8.314059
12.035436,4.129939
60.878399,26.762550
5.643772,2.448044
37.018120,92.083710
6.919051,0.567940
48.894604,17.543066
48.144985,37.883080
26.856297,35.229923
26.939728,14.737820
19.972429,14.203827
38.477619,31.447939
8.750011,3.497171
23.957283,9.991060
27.036543,39.236465
15.131210,2.709627
7.196177,5.538373
36.739704,23.534784
5.037644,2.603287
32.194790,7.372396
19.429605,5.313299
15.923977,4.804421
14.653199,14.236827
17.012152,9.982929
8.418687,2.804767
13.235938,5.855319
7.736094,3.169692
5.336062,2.426594
30.354477,13.773520
9.161839,2.153913
7.067519,2.972206
13.445176,3.674681
12.245158,2.838231
30.713448,9.967106
9.065648,13.796949
18.946844,10.315228
76.111092,172.015732
17.796951,15.504503
32.604912,8.726853
6.767610,4.178736
16.013050,2.738337
6.994994,3.067463
29.913391,30.872520
5.906629,19.887539
43.116280,36.289959
5.221480,1.699224
8.368362,6.378431
4.887338,1.359011
23.370941,21.892220
11.588686,5.159919
40.662071,18.784000
29.704473,7.571648
5.080514,4.508751
24.599314,25.498989
29.013235,9.027798
30.311243,12.103079
5.208491,3.185128
28.468994,5.552759
59.737751,44.816032
12.323818,3.026246
31.855352,12.820606
32.459225,26.641323
20.907721,20.004477
10.731688,3.776662
23.726185,5.328887
18.618427,16.152641
21.158405,8.603512
34.004578,56.273800
10.977566,2.587056
5.040421,1.812096
16.368891,10.394514
29.496290,22.954178
15.407419,24.038174
10.387463,3.433733
6.647205,5.090399
66.449516,72.916962
43.658501,14.835876
8.393209,1.174504
61.741520,17.123825
9.550396,1.851978
13.632291,3.165478
8.399609,2.091966
13.748787,2.792239
17.808893,11.497737
8.180313,3.619208
37.607815,17.461643
19.982185,15.985794
17.977385,17.885832
27.612368,26.493874
9.309811,2.988037
36.654678,40.093788
23.077110,9.059384
13.762665,1.574853
6.561132,1.347429
21.254290,17.837353
6.884165,3.150936
8.754686,2.257221
14.535571,7.686678
13.781929,4.384256
38.959595,14.970685
21.288691,3.142885
21.790300,3.966187
25.567289,14.724934
7.520049,3.490934
24.315685,12.780035
14.845327,10.969717
16.816587,1.907462
23.604454,10.647722
24.207150,58.975945
5.920768,4.488021
22.909830,7.508285
44.327454,5.023427
13.581919,13.225775
19.015419,15.137074
24.758593,11.314942
12.600468,2.576568
8.334230,4.062509
10.245941,1.175085
4.989476,1.439892
52.306961,26.924559
3.974079,2.773061
62.086193,6.901638
9.241290,5.946475
44.982491,41.235340
16.596972,7.056941
26.814087,18.725512
28.946371,21.143890
35.545502,11.107744
29.280857,64.330956
7.212781,2.229851
5.278158,2.997246
13.002415,7.412580
30.168104,33.265869
9.000456,4.238093
28.362448,25.757420
34.082985,11.835019
16.591850,4.662628
11.451364,4.684296
5.908842,2.408212
8.628234,3.026494
27.133259,19.258377
7.188447,2.037537
35.757538,22.986629
25.578556,10.503724
17.726841,3.195481
9.940216,1.208853
7.308599,5.877644
6.125558,0.727300
35.228001,9.910420
33.726311,6.996480
4.743613,1.752586
30.506554,10.733069
34.301243,30.332037
12.875025,3.758691
22.645308,18.066538
10.823892,4.181259
32.523205,29.379339
7.875208,0.539675
10.537753,3.308510
7.186835,2.561214
7.549253,7.336321
25.742968,6.665785
14.423886,13.870264
7.713562,3.320968
19.764896,13.379870
9.069881,1.631039
31.911161,20.439880
34.053970,14.152298
7.267432,5.824423
9.417326,1.664227
19.796955,2.686202
55.959976,24.240618
6.109760,4.913749
83.626328,46.455242
25.456934,9.122009
49.895248,12.461804
29.453438,14.211508
25.874420,14.356130
9.318903,3.756671
5.395763,3.201361
10.784265,5.518283
50.856964,26.899971
27.047491,8.730943
35.618389,10.764677
36.319359,14.826709
10.513114,4.723799
9.589226,2.517294
4.952775,1.919904
18.904512,2.568802
10.836686,2.167087
13.169076,5.968146
49.964081,11.714775
29.409927,6.358274
44.697403,36.547691
39.307201,14.787524
61.030663,36.879158
8.330102,4.048304
9.757987,22.193537
18.676409,22.464972
11.119553,6.234251
6.238371,1.780583
9.748341,6.000410
24.077330,5.562592
13.394730,1.186061
28.781960,15.988428
12.513935,16.927696
25.028622,5.598766
15.483121,4.605335
16.009546,13.644100
5.066567,1.112248
60.945007,35.118755
5.958455,2.656437
32.323174,19.156813
24.331257,15.318402
21.946955,6.679500
52.535656,58.308357
11.748099,2.515619
11.614338,5.436491
15.184118,10.188427
4.125979,2.248835
10.177701,4.478492
11.957909,5.918294
29.569460,23.996885
8.327268,4.132668
61.240265,23.945053
46.196098,9.087759
44.635071,64.622246
31.917334,18.008778
35.196423,19.234432
14.946863,9.521454
35.830662,16.384855
9.677584,1.454167
50.651314,24.334789
13.865282,3.314238
57.302734,21.950106
10.244779,3.297548
32.166286,6.329722
13.901349,2.803705
43.116253,11.636962
36.331001,105.462891
15.982773,7.203477
5.155676,0.942215
26.025805,31.523060
29.524450,18.988842
33.243458,28.122789
11.346127,6.141293
8.562086,4.361162
37.722378,39.361000
17.836248,8.682631
24.112528,36.659405
31.880007,41.548309
6.518682,2.034726
37.815311,45.577816
21.015194,18.884497
20.969904,33.645485
11.617305,10.036800
5.942231,2.640020
37.652779,37.159431
10.221693,4.268617
52.936848,51.166977
6.191662,2.926739
30.244854,9.417528
7.390717,3.972291
9.278052,1.797767
9.808084,5.804863
22.021158,10.302541
27.520872,4.540739
13.422416,4.137125
31.593901,15.489614
17.365599,3.947500
59.478317,81.633202
16.427059,19.521576
15.658341,11.241853
27.155029,15.436126
16.583559,4.900802
9.201550,6.258853
32.732693,8.164354
7.784622,8.840400
19.718420,32.985558
27.577618,5.341643
20.950953,7.822731
7.784963,3.652329
11.078964,2.453612
24.548079,13.153888
24.585514,14.545959
31.909790,62.115154
8.582703,3.598079
11.535557,3.270013
24.578043,8.268085
8.853775,4.270675
34.162666,22.697653
5.492475,2.266531
37.689732,15.371008
11.387648,3.982372
19.763348,14.947594
10.587543,14.988999
9.251087,2.363026
35.778255,22.308500
31.966890,9.604930
20.966381,9.771811
28.607542,33.588863
55.308392,24.954517
19.610071,17.454428
4.872068,1.840981
7.982087,5.032588
45.073254,13.206775
31.129631,21.144001
34.454239,19.690033
42.550343,34.925091
56.379684,14.402492
39.864388,22.783052
41.215073,11.427601
6.816262,3.305987
14.186919,3.295646
26.911507,10.540465
33.977661,11.220624
15.436204,8.084794
10.427459,2.630675
9.869274,1.706627
17.360981,21.347324
17.935049,9.626273
32.749443,42.744202
101.835205,103.606384
18.282410,7.840199
21.049526,9.512805
28.822607,4.125736
20.279230,14.275514
21.324871,11.573954
22.154318,13.485757
8.393164,4.418681
28.381479,12.412827
27.201046,21.070478
23.991066,19.463387
5.437298,1.314600
8.357104,1.574605
36.954544,15.442937
30.938242,3.772783
28.065060,4.904871
14.212256,8.676624
8.337426,3.714342
57.431507,14.025946
18.119886,13.582369
8.521625,3.324529
12.349005,3.733732
26.598587,13.310303
36.687786,8.116538
41.702248,23.115141
34.288200,14.002764
33.006027,39.247070
30.942587,19.650261
45.882145,23.196180
20.669626,19.251421
6.916453,2.413811
43.976261,20.424183
13.714731,5.364435
13.457962,20.721851
28.829086,10.746193
22.647413,18.722103
25.064869,15.553775
15.314578,1.955804
8.767813,3.443537
43.892281,12.102836
13.647257,3.904603
16.841642,3.799844
33.399475,14.643844
37.190578,17.005991
50.519543,38.565090
8.626242,1.237116
7.234480,3.041079
8.461545,4.746627
5.533202,2.349781
6.789576,2.648674
6.348608,6.423860
7.785886,3.583160
6.274981,1.694765
11.719939,3.066278
17.315001,11.634121
7.930566,8.189234
8.803308,7.019968
18.312807,8.191164
6.769874,2.864907
59.246132,29.154873
10.990303,1.488591
24.375038,17.185997
25.827845,27.711287
42.903172,12.059884
39.010742,17.716635
20.279291,9.710112
11.281758,2.094439
5.235897,0.756328
37.241039,10.789896
19.442095,4.380553
13.920618,5.514771
12.059919,12.402714
18.244104,34.525818
12.019305,16.151390
12.036842,7.648340
8.124573,1.954384
5.364438,1.542164
11.825371,3.511629
18.616058,1.896238
47.338028,48.941566
6.998887,4.209981
9.948432,4.479422
44.323471,9.433562
12.503792,2.826302
50.046272,18.255207
16.612171,15.983435
6.823300,1.587290
22.480494,24.918119
29.438051,14.629452
50.016670,52.006542
16.103642,3.536518
5.414417,2.109639
34.589371,33.988503
10.992225,6.644926
24.498617,47.193615
16.340866,15.256279
17.961504,4.930831
7.887922,18.373564
10.119681,3.502573
7.961584,2.033781
6.706698,1.639202
18.393240,9.821995
18.810379,13.861505
4.652472,1.121320
19.599943,2.506577
19.096731,4.655028
5.151178,2.137536
17.592480,14.828915
11.641730,9.062962
4.930931,1.139464
24.762575,8.938621
5.259431,3.371626
57.583694,16.674788
23.869522,3.654572
27.721466,5.832782
4.324916,2.912636
30.720133,11.601599
10.673263,4.810674
45.386902,9.728356
12.225492,2.872447
11.641702,3.116629
7.683274,11.283422
33.088070,47.623959
15.940657,2.029102
9.296513,4.527593
6.245327,2.421981
23.207119,6.386930
18.569088,51.461849
31.488787,20.576809
26.567575,11.714913
13.683545,5.460429
47.851692,44.235130
32.520058,14.695108
13.381756,1.457691
20.819782,9.953283
56.211407,82.243996
27.154591,28.754311
33.012642,10.311562
38.358322,8.488429
16.453627,34.980957
35.800476,9.197548
84.891861,147.362488
8.100713,9.045745
104.098816,140.050140
22.799707,12.598352
5.421979,4.212271
58.014820,97.576561
13.928905,8.452850
17.577072,19.188126
55.646156,86.199974
38.073532,20.015600
51.733891,34.175350
6.217285,1.852628
31.747639,8.804189
26.909065,6.812620
16.147984,6.252937
42.234653,10.719370
50.982918,23.655964
34.348274,7.032756
8.206240,34.353745
19.092484,7.487288
14.095737,12.813864
4.435446,1.537114
19.740150,12.472990
45.294571,47.201385
33.582695,17.597042
7.622530,1.651583
10.913353,12.792771
22.551039,10.057332
4.561029,3.231036
49.635284,45.869164
13.583168,5.098463
34.705170,22.688026
11.556508,2.604181
10.448446,2.713974
4.392484,1.487774
16.902063,19.501188
10.742949,10.144904
62.462875,80.932915
83.207443,114.113129
28.493887,22.065739
7.971028,3.070931
14.233524,6.370012
11.370359,9.848555
7.067758,1.830893
42.508667,12.875032
20.063198,13.435035
25.479717,16.247446
13.349198,0.966314
4.478778,2.096513
8.556081,5.224759
28.668556,9.207149
15.962660,6.378013
20.571650,13.475069
7.407455,1.168409
13.911294,8.418436
35.271610,17.325905
31.798784,11.717104
47.888088,24.257263
9.679838,2.563891
60.733070,32.690567
9.275456,5.299540
23.738848,7.605988
37.107613,19.781406
14.069070,6.626281
28.354761,21.825001
26.093412,49.630444
6.478339,1.974773
19.602018,26.058050
9.025112,7.903823
7.430525,6.761963
26.161232,9.934265
11.677364,3.448953
12.853205,21.091724
21.611532,22.181124
13.523770,4.416681
33.672161,29.336390
50.145977,12.300958
55.190868,56.747166
4.573350,5.810491
28.505638,15.531381
26.903793,18.605431
7.869277,6.744497
5.935335,1.917807
23.858524,1.559470
43.646187,11.864216
10.180052,3.343755
11.661584,1.462773
28.148745,10.716227
23.564528,14.410610
33.358746,17.526564
48.910488,21.449135
22.557652,11.598336
64.770599,37.797367
16.154058,6.034197
5.684422,3.179003
5.620263,2.408413
20.337872,9.596685
27.835508,14.878060
25.981318,13.861545
8.322074,2.818056
44.465523,17.730160
56.276371,16.670799
27.699295,16.111403
15.892445,14.655338
41.400326,8.955625
45.406918,5.419581
7.023441,6.083126
4.727458,0.421111
10.725059,2.503036
4.254375,1.996794
26.915125,15.823107
25.098164,8.338813
7.954709,5.455876
37.846451,25.974798
4.957915,2.037606
10.708023,4.051411
64.167694,14.795909
61.557415,22.490860
39.403072,49.644814
17.456316,6.217060
18.093990,7.573006
10.536091,7.198805
9.955673,6.181847
25.955709,44.173939
44.355934,15.937956
10.783506,5.279632
12.995422,1.568625
21.534344,5.295606
5.055718,4.110402
22.361639,9.746670
32.701717,10.064878
37.433235,10.612370
5.847763,0.711883
37.850536,20.810493
26.951473,15.474785
8.211381,5.516128
27.478428,5.177434
9.234151,3.615331
6.564165,31.296230
7.341568,2.865059
7.672127,5.908778
34.746887,18.944660
8.881549,6.230516
4.505435,2.371183
7.466542,3.197384
8.221357,1.572947
27.638691,32.311497
5.464932,1.408698
14.089577,3.559947
42.354111,18.662090
19.752371,7.672671
19.129421,10.109993
57.623177,57.996609
43.878143,19.927412
6.660944,2.242132
18.307522,3.549391
9.090589,2.739700
5.339642,0.494016
20.514816,11.665504
26.964941,3.355969
5.426447,1.784610
20.327301,13.857114
7.851847,8.462387
55.890656,28.986191
43.202820,38.346939
7.690246,3.365485
8.542437,1.357298
50.064899,8.661633
38.991009,21.356932
7.115716,2.340195
5.742967,1.205833
43.709091,6.056535
39.773525,38.439735
45.433105,17.466837
35.374969,16.220314
44.915951,22.271021
7.875009,10.269382
23.541822,30.756041
68.802917,24.847685
8.558756,3.381873
11.336887,2.065785
63.844181,46.675976
23.393066,13.652903
21.042641,18.795261
11.928799,4.100253
20.174681,14.935777
48.411568,23.883343
24.214266,32.898582
20.961653,17.781050
37.025898,52.633087
41.884537,23.577736
8.784933,1.733321
8.100346,2.933367
15.174682,6.202948
15.381211,4.751675
20.683111,9.040631
25.977524,33.148556
8.101320,5.350302
11.038114,10.212771
7.761645,1.010383
14.289173,6.250422
13.440760,11.401386
34.516499,23.405111
40.248512,23.048691
21.263708,11.278560
58.860130,13.510955
13.428545,5.962289
17.498451,11.619161
47.967400,20.442223
7.329134,0.856853
28.312363,17.236628
28.850700,21.004749
18.287834,10.159595
32.642204,37.207047
10.230662,3.301940
17.014353,4.727232
51.119324,23.002018
5.565097,1.204320
25.096115,9.926867
20.557047,8.236499
14.833112,19.957430
10.024170,4.072640
33.962753,6.661398
21.807056,4.777465
38.955204,67.904022
15.109396,2.344823
7.375678,1.993646
27.884676,18.574276
34.316231,32.411732
40.574482,11.143023
7.048735,4.349473
9.380714,6.358210
11.314430,5.288898
54.474155,81.715302
8.065268,5.159221
38.499352,76.724243
27.653955,48.577816
35.403294,118.775932
47.119091,39.495941
52.519402,56.874615
20.988712,3.115417
9.335519,9.999760
29.823488,9.912831
36.714161,45.597870
6.666812,6.855841
13.386754,2.637449
42.702267,19.845278
5.215878,2.351240
39.744396,34.711670
5.063049,5.829699
24.046930,27.690323
23.772221,18.971764
22.446037,5.771957
54.355042,41.240166
22.850731,13.484743
27.693724,19.546803
8.538423,5.307921
16.831945,16.074699
30.454231,14.868005
35.270161,43.946030
6.461901,4.307580
18.236084,5.269332
52.662682,30.139101
47.313881,46.700642
6.629735,0.733286
14.999821,2.973321
7.784119,1.946428
14.866427,2.647392
12.168680,12.518132
10.325538,3.901083
21.533487,18.373682
38.422707,13.626147
9.538423,20.181513
6.795372,1.873651
8.891904,1.890074
43.339294,20.159817
23.818972,10.754466
23.098991,6.365263
18.217073,1.471456
10.694309,12.492035
26.337032,9.431708
12.951561,11.249267
17.998026,2.705118
8.571373,3.007537
33.963421,18.855570
4.209873,1.639556
43.448853,14.319057
15.020251,7.676669
25.096535,26.890036
9.120635,3.970779
4.724081,1.192508
28.644218,25.992767
19.720781,11.654533
7.589545,2.289375
13.789919,3.618647
13.312010,2.328510
37.605766,13.870533
20.732841,10.109820
33.575359,17.473137
12.349730,4.528684
19.989435,11.824684
11.821735,5.691696
28.579651,29.287905
7.303662,5.812453
12.975599,3.738700
33.076157,19.341448
12.519052,7.294440
9.837039,3.196686
24.249912,20.405399
24.475407,21.125477
6.267841,3.846270
11.939556,9.746107
12.824461,8.438852
12.945984,5.966351
28.080778,41.403786
8.091605,1.335453
17.492779,15.638083
17.689333,3.942441
29.719160,30.040300
25.779783,17.907587
14.562767,8.842248
13.415113,2.853796
28.013577,10.012114
22.591276,28.345808
9.460708,8.471462
45.154510,26.104330
8.310258,16.809185
28.649452,14.333014
28.784819,4.616966
12.043325,2.386947
25.070173,8.910346
9.917314,10.645181
4.847789,1.246634
28.540396,4.690531
27.921038,28.337893
20.119389,20.472359
11.402310,3.069452
14.686411,14.564578
5.397173,3.178187
